,row_index,web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,Review
102,102,1583824215-57,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sudipta C.,Poor,Reviewed in India on 29 June 2019,Poor,1.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,[],[],[],[],[],Poor. Poor
103,103,1583824223-83,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,W.Ibopishak S.,Four Stars,Reviewed in India on 7 July 2018,good,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,[],[],[],[],[],Four Stars. good
104,104,1583824245-186,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Manoj,Nice,Reviewed in India on 11 January 2019,Best and good ....I have been using from 1 month ....hairfall reduce a bit ....when compared other shampoo it's ok from me,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,[],['other shampoo'],[],[],[],Nice. Best and good ....I have been using from 1 month ....hairfall reduce a bit ....when compared other shampoo it's ok from me
105,105,1583824230-116,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kalpana,Bad delivery,Reviewed in India on 18 January 2019,It's leaked when I open it,2.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,[],[],[],[],[],Bad delivery. It's leaked when I open it
106,106,1583824215-54,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,YATHEESH,Fantastic shampoo since amazon prime packing was good and hair ...,Reviewed in India on 29 April 2018,Fantastic shampoo since amazon prime packing was good and hair fall stopped very mild shampoo u ll get silky hairs,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,"[('amazon packing', 'packing')]","['Fantastic shampoo', 'mild shampoo', 'silky hairs', 'prime amazon packing', 'very mild shampoo']",[],[],[],Fantastic shampoo since amazon prime packing was good and hair .... Fantastic shampoo since amazon prime packing was good and hair fall stopped very mild shampoo u ll get silky hairs
107,107,1583824252-216,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Muni,Ok good,Reviewed in India on 2 August 2019,My favorite nyle,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews,[],['favorite nyle'],[],[],[],Ok good. My favorite nyle
108,108,1583824228-106,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pramod Kumar,Good product,Reviewed in India on 4 November 2019,It is a good product,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,[],['good product'],[],[],[],Good product. It is a good product
109,109,1583824254-228,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DSRA Sharma,Nice & Excellent,Reviewed in India on 17 February 2019,Excellent,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews,[],[],[],[],[],Nice & Excellent. Excellent
110,110,1583824236-148,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,mani,perfect,Reviewed in India on 1 March 2020,Very nice product,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews,[],"['nice product', 'Very nice product']",[],[],[],perfect. Very nice product
111,111,1583824252-218,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Dr Sunil mehra,Fine,Reviewed in India on 30 October 2019,Fine,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews,[],[],[],[],[],Fine. Fine
